sp,nt_filename,aa_filename,nt2aa_mismatches
Strongylocentrotus_purpuratus,Strongylocentrotus_purpuratus_Nucleotides.fna,Strongylocentrotus_purpuratus_Peptides.faa,287.0
Ptychodera_flava,Ptychodera_flava_mrna_trimmed.fna,Ptychodera_flava_prot.faa,1378.0
